date,domain,metric,value,orders
2025-05-31,E-commerce,Daily Revenue,4574,51
2025-06-01,E-commerce,Daily Revenue,4510,68
2025-06-02,E-commerce,Daily Revenue,5041,87
2025-06-03,E-commerce,Daily Revenue,5028,73
2025-06-04,E-commerce,Daily Revenue,4695,48
2025-06-05,E-commerce,Daily Revenue,5092,81
2025-06-06,E-commerce,Daily Revenue,5163,64
2025-06-07,E-commerce,Daily Revenue,4367,62
2025-06-08,E-commerce,Daily Revenue,4076,44
2025-06-09,E-commerce,Daily Revenue,4677,50
2025-06-10,E-commerce,Daily Revenue,4687,73
2025-06-11,E-commerce,Daily Revenue,4597,90
2025-06-12,E-commerce,Daily Revenue,5231,59
2025-06-13,E-commerce,Daily Revenue,5187,89
2025-06-14,E-commerce,Daily Revenue,4058,42
2025-06-15,E-commerce,Daily Revenue,4220,80
2025-06-16,E-commerce,Daily Revenue,4706,65
2025-06-17,E-commerce,Daily Revenue,5215,55
2025-06-18,E-commerce,Daily Revenue,5065,60
2025-06-19,E-commerce,Daily Revenue,4691,57
2025-06-20,E-commerce,Daily Revenue,5268,99
2025-06-21,E-commerce,Daily Revenue,4152,60
2025-06-22,E-commerce,Daily Revenue,4627,57
2025-06-23,E-commerce,Daily Revenue,4826,95
2025-06-24,E-commerce,Daily Revenue,4686,61
2025-06-25,E-commerce,Daily Revenue,5465,62
2025-06-26,E-commerce,Daily Revenue,4631,60
2025-06-27,E-commerce,Daily Revenue,5314,64
2025-06-28,E-commerce,Daily Revenue,4435,46
2025-06-29,E-commerce,Daily Revenue,3809,38
2025-06-30,E-commerce,Daily Revenue,4580,83
2025-07-01,E-commerce,Daily Revenue,4957,58
2025-07-02,E-commerce,Daily Revenue,4796,62
2025-07-03,E-commerce,Daily Revenue,5584,63
2025-07-04,E-commerce,Daily Revenue,4485,82
2025-07-05,E-commerce,Daily Revenue,3857,54
2025-07-06,E-commerce,Daily Revenue,3847,52
2025-07-07,E-commerce,Daily Revenue,5214,59
2025-07-08,E-commerce,Daily Revenue,5481,93
2025-07-09,E-commerce,Daily Revenue,4795,64
2025-07-10,E-commerce,Daily Revenue,5429,54
2025-07-11,E-commerce,Daily Revenue,4613,54
2025-07-12,E-commerce,Daily Revenue,4262,69
2025-07-13,E-commerce,Daily Revenue,4427,56
2025-07-14,E-commerce,Daily Revenue,4835,64
2025-07-15,E-commerce,Daily Revenue,4886,54
2025-07-16,E-commerce,Daily Revenue,5320,57
2025-07-17,E-commerce,Daily Revenue,4641,75
2025-07-18,E-commerce,Daily Revenue,5419,54
2025-07-19,E-commerce,Daily Revenue,4450,78
2025-07-20,E-commerce,Daily Revenue,4492,67
2025-07-21,E-commerce,Daily Revenue,5346,65
2025-07-22,E-commerce,Daily Revenue,4778,50
2025-07-23,E-commerce,Daily Revenue,4784,69
2025-07-24,E-commerce,Daily Revenue,5371,62
2025-07-25,E-commerce,Daily Revenue,5304,88
2025-07-26,E-commerce,Daily Revenue,3907,42
2025-07-27,E-commerce,Daily Revenue,3861,70
2025-07-28,E-commerce,Daily Revenue,5372,54
2025-07-29,E-commerce,Daily Revenue,5162,74
2025-07-30,E-commerce,Daily Revenue,4554,48
2025-07-31,E-commerce,Daily Revenue,5397,98
2025-08-01,E-commerce,Daily Revenue,5154,55
2025-08-02,E-commerce,Daily Revenue,4373,49
2025-08-03,E-commerce,Daily Revenue,3903,43
2025-08-04,E-commerce,Daily Revenue,4797,72
2025-08-05,E-commerce,Daily Revenue,4826,55
2025-08-06,E-commerce,Daily Revenue,4604,79
2025-08-07,E-commerce,Daily Revenue,4588,83
2025-08-08,E-commerce,Daily Revenue,5031,64
2025-08-09,E-commerce,Daily Revenue,3814,49
2025-08-10,E-commerce,Daily Revenue,4337,68
2025-08-11,E-commerce,Daily Revenue,4499,61
2025-08-12,E-commerce,Daily Revenue,4563,79
2025-08-13,E-commerce,Daily Revenue,4695,53
2025-08-14,E-commerce,Daily Revenue,4645,74
2025-08-15,E-commerce,Daily Revenue,4847,62
2025-08-16,E-commerce,Daily Revenue,4072,41
2025-08-17,E-commerce,Daily Revenue,4246,43
2025-08-18,E-commerce,Daily Revenue,5301,70
2025-08-19,E-commerce,Daily Revenue,5348,74
2025-08-20,E-commerce,Daily Revenue,4517,65
2025-08-21,E-commerce,Daily Revenue,5086,69
2025-08-22,E-commerce,Daily Revenue,4908,58
2025-08-23,E-commerce,Daily Revenue,4579,76
2025-08-24,E-commerce,Daily Revenue,4690,48
2025-08-25,E-commerce,Daily Revenue,5029,93
2025-08-26,E-commerce,Daily Revenue,5105,96
2025-08-27,E-commerce,Daily Revenue,5113,74
2025-08-28,E-commerce,Daily Revenue,5045,59
2025-08-29,E-commerce,Daily Revenue,4967,79
2025-08-30,E-commerce,Daily Revenue,3970,62
2025-08-31,E-commerce,Daily Revenue,4542,50
2025-09-01,E-commerce,Daily Revenue,5296,60
2025-09-02,E-commerce,Daily Revenue,5339,65
2025-09-03,E-commerce,Daily Revenue,4495,54
2025-09-04,E-commerce,Daily Revenue,5616,86
2025-09-05,E-commerce,Daily Revenue,4564,55
2025-09-06,E-commerce,Daily Revenue,4292,57
2025-09-07,E-commerce,Daily Revenue,4723,81
2025-09-08,E-commerce,Daily Revenue,5428,106
2025-09-09,E-commerce,Daily Revenue,5131,74
2025-09-10,E-commerce,Daily Revenue,4664,66
2025-09-11,E-commerce,Daily Revenue,5056,69
2025-09-12,E-commerce,Daily Revenue,5006,60
2025-09-13,E-commerce,Daily Revenue,4347,56
2025-09-14,E-commerce,Daily Revenue,4142,52
2025-09-15,E-commerce,Daily Revenue,5052,87
2025-09-16,E-commerce,Daily Revenue,4673,48
2025-09-17,E-commerce,Daily Revenue,4813,73
2025-09-18,E-commerce,Daily Revenue,4775,56
2025-09-19,E-commerce,Daily Revenue,4750,83
2025-09-20,E-commerce,Daily Revenue,3836,74
2025-09-21,E-commerce,Daily Revenue,4212,74
2025-09-22,E-commerce,Daily Revenue,5271,55
2025-09-23,E-commerce,Daily Revenue,5307,87
2025-09-24,E-commerce,Daily Revenue,5085,65
2025-09-25,E-commerce,Daily Revenue,4568,82
2025-09-26,E-commerce,Daily Revenue,5071,52
2025-09-27,E-commerce,Daily Revenue,4335,83
2025-09-28,E-commerce,Daily Revenue,4636,84
2025-09-29,E-commerce,Daily Revenue,5272,76
2025-09-30,E-commerce,Daily Revenue,4945,70
2025-10-01,E-commerce,Daily Revenue,4883,49
2025-10-02,E-commerce,Daily Revenue,5090,75
2025-10-03,E-commerce,Daily Revenue,5249,60
2025-10-04,E-commerce,Daily Revenue,4074,45
2025-10-05,E-commerce,Daily Revenue,4243,43
2025-10-06,E-commerce,Daily Revenue,4715,54
2025-10-07,E-commerce,Daily Revenue,4634,47
2025-10-08,E-commerce,Daily Revenue,5290,87
2025-10-09,E-commerce,Daily Revenue,4645,60
2025-10-10,E-commerce,Daily Revenue,5034,64
2025-10-11,E-commerce,Daily Revenue,4465,54
2025-10-12,E-commerce,Daily Revenue,4692,57
2025-10-13,E-commerce,Daily Revenue,4850,51
2025-10-14,E-commerce,Daily Revenue,5262,57
2025-10-15,E-commerce,Daily Revenue,4836,83
2025-10-16,E-commerce,Daily Revenue,5265,67
2025-10-17,E-commerce,Daily Revenue,5334,56
2025-10-18,E-commerce,Daily Revenue,4716,63
2025-10-19,E-commerce,Daily Revenue,4014,41
2025-10-20,E-commerce,Daily Revenue,4799,53
2025-10-21,E-commerce,Daily Revenue,5030,57
2025-10-22,E-commerce,Daily Revenue,5138,90
2025-10-23,E-commerce,Daily Revenue,4480,56
2025-10-24,E-commerce,Daily Revenue,5145,58
2025-10-25,E-commerce,Daily Revenue,4085,41
2025-10-26,E-commerce,Daily Revenue,3951,77
2025-10-27,E-commerce,Daily Revenue,4725,59
2025-10-28,E-commerce,Daily Revenue,4554,50
2025-10-29,E-commerce,Daily Revenue,4917,72
2025-10-30,E-commerce,Daily Revenue,4514,84
2025-10-31,E-commerce,Daily Revenue,5106,81
2025-11-01,E-commerce,Daily Revenue,6421,113
2025-11-02,E-commerce,Daily Revenue,5865,68
2025-11-03,E-commerce,Daily Revenue,7327,82
2025-11-04,E-commerce,Daily Revenue,6714,118
2025-11-05,E-commerce,Daily Revenue,7287,112
2025-11-06,E-commerce,Daily Revenue,6442,66
2025-11-07,E-commerce,Daily Revenue,6381,100
2025-11-08,E-commerce,Daily Revenue,5714,71
2025-11-09,E-commerce,Daily Revenue,6408,71
2025-11-10,E-commerce,Daily Revenue,7083,118
2025-11-11,E-commerce,Daily Revenue,6709,116
2025-11-12,E-commerce,Daily Revenue,7185,116
2025-11-13,E-commerce,Daily Revenue,7865,82
2025-11-14,E-commerce,Daily Revenue,6626,125
2025-11-15,E-commerce,Daily Revenue,6162,99
2025-11-16,E-commerce,Daily Revenue,6404,107
2025-11-17,E-commerce,Daily Revenue,6243,66
2025-11-18,E-commerce,Daily Revenue,7576,83
2025-11-19,E-commerce,Daily Revenue,7661,93
2025-11-20,E-commerce,Daily Revenue,6664,115
2025-11-21,E-commerce,Daily Revenue,7347,80
2025-11-22,E-commerce,Daily Revenue,5547,91
2025-11-23,E-commerce,Daily Revenue,6019,75
2025-11-24,E-commerce,Daily Revenue,7071,93
2025-11-25,E-commerce,Daily Revenue,7450,76
2025-11-26,E-commerce,Daily Revenue,7569,116
2025-11-27,E-commerce,Daily Revenue,7667,110
2025-11-28,E-commerce,Daily Revenue,7010,71
2025-11-29,E-commerce,Daily Revenue,5775,66
2025-11-30,E-commerce,Daily Revenue,5491,108
2025-12-01,E-commerce,Daily Revenue,4680,52
2025-12-02,E-commerce,Daily Revenue,4743,88
2025-12-03,E-commerce,Daily Revenue,4773,70
2025-12-04,E-commerce,Daily Revenue,5503,95
2025-12-05,E-commerce,Daily Revenue,4431,53
2025-12-06,E-commerce,Daily Revenue,3829,57
2025-12-07,E-commerce,Daily Revenue,4497,78
2025-12-08,E-commerce,Daily Revenue,4994,51
2025-12-09,E-commerce,Daily Revenue,4942,50
2025-12-10,E-commerce,Daily Revenue,5014,78
2025-12-11,E-commerce,Daily Revenue,5198,63
2025-12-12,E-commerce,Daily Revenue,5317,57
2025-12-13,E-commerce,Daily Revenue,4374,45
2025-12-14,E-commerce,Daily Revenue,3959,47
2025-12-15,E-commerce,Daily Revenue,4442,56
2025-12-16,E-commerce,Daily Revenue,4983,60
2025-12-17,E-commerce,Daily Revenue,4664,55
2025-12-18,E-commerce,Daily Revenue,5062,51
2025-12-19,E-commerce,Daily Revenue,4625,77
2025-12-20,E-commerce,Daily Revenue,3830,50
2025-12-21,E-commerce,Daily Revenue,4039,78
2025-12-22,E-commerce,Daily Revenue,4725,58
2025-12-23,E-commerce,Daily Revenue,5169,64
2025-12-24,E-commerce,Daily Revenue,5044,95
2025-12-25,E-commerce,Daily Revenue,4748,58
2025-12-26,E-commerce,Daily Revenue,5054,64
2025-12-27,E-commerce,Daily Revenue,3894,47
2025-12-28,E-commerce,Daily Revenue,4276,47
2025-12-29,E-commerce,Daily Revenue,4881,74
2025-12-30,E-commerce,Daily Revenue,5105,70
2025-12-31,E-commerce,Daily Revenue,4605,52
2026-01-01,E-commerce,Daily Revenue,4799,86
2026-01-02,E-commerce,Daily Revenue,5386,84
2026-01-03,E-commerce,Daily Revenue,4609,61
2026-01-04,E-commerce,Daily Revenue,4377,53
2026-01-05,E-commerce,Daily Revenue,5066,57
2026-01-06,E-commerce,Daily Revenue,4962,87
2026-01-07,E-commerce,Daily Revenue,5070,82
2026-01-08,E-commerce,Daily Revenue,5161,68
2026-01-09,E-commerce,Daily Revenue,5047,53
2026-01-10,E-commerce,Daily Revenue,4378,80
2026-01-11,E-commerce,Daily Revenue,4401,68
2026-01-12,E-commerce,Daily Revenue,4862,56
2026-01-13,E-commerce,Daily Revenue,5378,72
2026-01-14,E-commerce,Daily Revenue,4707,49
2026-01-15,E-commerce,Daily Revenue,4620,77
2026-01-16,E-commerce,Daily Revenue,5091,93
2026-01-17,E-commerce,Daily Revenue,4572,82
2026-01-18,E-commerce,Daily Revenue,4328,47
2026-01-19,E-commerce,Daily Revenue,5237,53
2026-01-20,E-commerce,Daily Revenue,5134,70
2026-01-21,E-commerce,Daily Revenue,5021,93
2026-01-22,E-commerce,Daily Revenue,5010,63
2026-01-23,E-commerce,Daily Revenue,4547,91
2026-01-24,E-commerce,Daily Revenue,4038,44
2026-01-25,E-commerce,Daily Revenue,4122,65
2026-01-26,E-commerce,Daily Revenue,5311,92
2026-01-27,E-commerce,Daily Revenue,4822,68
2026-01-28,E-commerce,Daily Revenue,5443,56
2026-01-29,E-commerce,Daily Revenue,4708,60
2026-01-30,E-commerce,Daily Revenue,5048,92
2026-01-31,E-commerce,Daily Revenue,4402,45
2026-02-01,E-commerce,Daily Revenue,4135,65
2026-02-02,E-commerce,Daily Revenue,5361,59
2026-02-03,E-commerce,Daily Revenue,4612,68
2026-02-04,E-commerce,Daily Revenue,4764,95
2026-02-05,E-commerce,Daily Revenue,5063,56
2026-02-06,E-commerce,Daily Revenue,5133,58
2026-02-07,E-commerce,Daily Revenue,4106,56
2026-02-08,E-commerce,Daily Revenue,4175,49
2026-02-09,E-commerce,Daily Revenue,5151,90
2026-02-10,E-commerce,Daily Revenue,5219,53
2026-02-11,E-commerce,Daily Revenue,5364,76
2026-02-12,E-commerce,Daily Revenue,4825,64
2026-02-13,E-commerce,Daily Revenue,5119,97
2026-02-14,E-commerce,Daily Revenue,4093,57
2026-02-15,E-commerce,Daily Revenue,4488,62
2026-02-16,E-commerce,Daily Revenue,4619,78
2026-02-17,E-commerce,Daily Revenue,4916,61
2026-02-18,E-commerce,Daily Revenue,5051,52
2026-02-19,E-commerce,Daily Revenue,4946,66
2026-02-20,E-commerce,Daily Revenue,5025,51
2026-02-21,E-commerce,Daily Revenue,4543,50
2026-02-22,E-commerce,Daily Revenue,4448,68
2026-02-23,E-commerce,Daily Revenue,5070,82
2026-02-24,E-commerce,Daily Revenue,4896,70
2026-02-25,E-commerce,Daily Revenue,4672,49
2026-02-26,E-commerce,Daily Revenue,4489,67
2026-02-27,E-commerce,Daily Revenue,5197,74
2026-02-28,E-commerce,Daily Revenue,4007,47
2026-03-01,E-commerce,Daily Revenue,4192,66
2026-03-02,E-commerce,Daily Revenue,5296,70
2026-03-03,E-commerce,Daily Revenue,5333,74
2026-03-04,E-commerce,Daily Revenue,5010,77
2026-03-05,E-commerce,Daily Revenue,4842,48
2026-03-06,E-commerce,Daily Revenue,4673,67
2026-03-07,E-commerce,Daily Revenue,4109,47
2026-03-08,E-commerce,Daily Revenue,4086,47
2026-03-09,E-commerce,Daily Revenue,4803,73
2026-03-10,E-commerce,Daily Revenue,5239,74
2026-03-11,E-commerce,Daily Revenue,4950,73
2026-03-12,E-commerce,Daily Revenue,4853,58
2026-03-13,E-commerce,Daily Revenue,4915,51
2026-03-14,E-commerce,Daily Revenue,4397,86
