date,domain,metric,value,active_customers
2025-07-01,SaaS,MRR,133728,669
2025-07-02,SaaS,MRR,133944,670
2025-07-03,SaaS,MRR,134114,671
2025-07-04,SaaS,MRR,134302,672
2025-07-05,SaaS,MRR,134530,673
2025-07-06,SaaS,MRR,134824,674
2025-07-07,SaaS,MRR,134990,675
2025-07-08,SaaS,MRR,135262,676
2025-07-09,SaaS,MRR,135403,677
2025-07-10,SaaS,MRR,135523,678
2025-07-11,SaaS,MRR,135760,679
2025-07-12,SaaS,MRR,135943,680
2025-07-13,SaaS,MRR,136117,681
2025-07-14,SaaS,MRR,136340,682
2025-07-15,SaaS,MRR,136591,683
2025-07-16,SaaS,MRR,136774,684
2025-07-17,SaaS,MRR,136943,685
2025-07-18,SaaS,MRR,137086,685
2025-07-19,SaaS,MRR,137337,687
2025-07-20,SaaS,MRR,137475,687
2025-07-21,SaaS,MRR,137659,688
2025-07-22,SaaS,MRR,137921,690
2025-07-23,SaaS,MRR,138058,690
2025-07-24,SaaS,MRR,138196,691
2025-07-25,SaaS,MRR,138380,692
2025-07-26,SaaS,MRR,138487,692
2025-07-27,SaaS,MRR,138650,693
2025-07-28,SaaS,MRR,139680,698
2025-07-29,SaaS,MRR,140509,703
2025-07-30,SaaS,MRR,141215,706
2025-07-31,SaaS,MRR,142895,714
2025-08-01,SaaS,MRR,143136,716
2025-08-02,SaaS,MRR,143281,716
2025-08-03,SaaS,MRR,143405,717
2025-08-04,SaaS,MRR,143552,718
2025-08-05,SaaS,MRR,143714,719
2025-08-06,SaaS,MRR,143904,720
2025-08-07,SaaS,MRR,144074,720
2025-08-08,SaaS,MRR,144301,722
2025-08-09,SaaS,MRR,144577,723
2025-08-10,SaaS,MRR,144824,724
2025-08-11,SaaS,MRR,144998,725
2025-08-12,SaaS,MRR,145262,726
2025-08-13,SaaS,MRR,145366,727
2025-08-14,SaaS,MRR,145502,728
2025-08-15,SaaS,MRR,145683,728
2025-08-16,SaaS,MRR,145842,729
2025-08-17,SaaS,MRR,146102,731
2025-08-18,SaaS,MRR,146286,731
2025-08-19,SaaS,MRR,146422,732
2025-08-20,SaaS,MRR,146556,733
2025-08-21,SaaS,MRR,146736,734
2025-08-22,SaaS,MRR,146964,735
2025-08-23,SaaS,MRR,147168,736
2025-08-24,SaaS,MRR,147425,737
2025-08-25,SaaS,MRR,147614,738
2025-08-26,SaaS,MRR,147836,739
2025-08-27,SaaS,MRR,148062,740
2025-08-28,SaaS,MRR,149714,749
2025-08-29,SaaS,MRR,150704,754
2025-08-30,SaaS,MRR,152276,761
2025-08-31,SaaS,MRR,153148,766
2025-09-01,SaaS,MRR,153263,766
2025-09-02,SaaS,MRR,153478,767
2025-09-03,SaaS,MRR,153650,768
2025-09-04,SaaS,MRR,153903,770
2025-09-05,SaaS,MRR,154117,771
2025-09-06,SaaS,MRR,154383,772
2025-09-07,SaaS,MRR,154543,773
2025-09-08,SaaS,MRR,154730,774
2025-09-09,SaaS,MRR,154982,775
2025-09-10,SaaS,MRR,155231,776
2025-09-11,SaaS,MRR,155469,777
2025-09-12,SaaS,MRR,155605,778
2025-09-13,SaaS,MRR,155751,779
2025-09-14,SaaS,MRR,155973,780
2025-09-15,SaaS,MRR,156222,781
2025-09-16,SaaS,MRR,156442,782
2025-09-17,SaaS,MRR,156590,783
2025-09-18,SaaS,MRR,156883,784
2025-09-19,SaaS,MRR,156991,785
2025-09-20,SaaS,MRR,157196,786
2025-09-21,SaaS,MRR,157337,787
2025-09-22,SaaS,MRR,157452,787
2025-09-23,SaaS,MRR,157693,788
2025-09-24,SaaS,MRR,157919,790
2025-09-25,SaaS,MRR,158137,791
2025-09-26,SaaS,MRR,158353,792
2025-09-27,SaaS,MRR,158612,793
2025-09-28,SaaS,MRR,160129,801
2025-09-29,SaaS,MRR,160861,804
2025-09-30,SaaS,MRR,162456,812
2025-10-01,SaaS,MRR,146421,732
2025-10-02,SaaS,MRR,146647,733
2025-10-03,SaaS,MRR,146748,734
2025-10-04,SaaS,MRR,147030,735
2025-10-05,SaaS,MRR,147257,736
2025-10-06,SaaS,MRR,147405,737
2025-10-07,SaaS,MRR,147637,738
2025-10-08,SaaS,MRR,147927,740
2025-10-09,SaaS,MRR,148179,741
2025-10-10,SaaS,MRR,148306,742
2025-10-11,SaaS,MRR,148553,743
2025-10-12,SaaS,MRR,148793,744
2025-10-13,SaaS,MRR,149035,745
2025-10-14,SaaS,MRR,149302,747
2025-10-15,SaaS,MRR,149532,748
2025-10-16,SaaS,MRR,149662,748
2025-10-17,SaaS,MRR,149777,749
2025-10-18,SaaS,MRR,150072,750
2025-10-19,SaaS,MRR,150189,751
2025-10-20,SaaS,MRR,150450,752
2025-10-21,SaaS,MRR,150562,753
2025-10-22,SaaS,MRR,150750,754
2025-10-23,SaaS,MRR,150884,754
2025-10-24,SaaS,MRR,151136,756
2025-10-25,SaaS,MRR,151406,757
2025-10-26,SaaS,MRR,151563,758
2025-10-27,SaaS,MRR,151760,759
2025-10-28,SaaS,MRR,153381,767
2025-10-29,SaaS,MRR,154148,771
2025-10-30,SaaS,MRR,155266,776
2025-10-31,SaaS,MRR,156540,783
2025-11-01,SaaS,MRR,156764,784
2025-11-02,SaaS,MRR,156880,784
2025-11-03,SaaS,MRR,157018,785
2025-11-04,SaaS,MRR,157203,786
2025-11-05,SaaS,MRR,157498,787
2025-11-06,SaaS,MRR,157681,788
2025-11-07,SaaS,MRR,157840,789
2025-11-08,SaaS,MRR,158073,790
2025-11-09,SaaS,MRR,158223,791
2025-11-10,SaaS,MRR,158471,792
2025-11-11,SaaS,MRR,158664,793
2025-11-12,SaaS,MRR,158867,794
2025-11-13,SaaS,MRR,158988,795
2025-11-14,SaaS,MRR,159278,796
2025-11-15,SaaS,MRR,159400,797
2025-11-16,SaaS,MRR,159597,798
2025-11-17,SaaS,MRR,159721,799
2025-11-18,SaaS,MRR,159837,799
2025-11-19,SaaS,MRR,159957,800
2025-11-20,SaaS,MRR,160127,801
2025-11-21,SaaS,MRR,160245,801
2025-11-22,SaaS,MRR,160423,802
2025-11-23,SaaS,MRR,160536,803
2025-11-24,SaaS,MRR,160652,803
2025-11-25,SaaS,MRR,160870,804
2025-11-26,SaaS,MRR,161149,806
2025-11-27,SaaS,MRR,161413,807
2025-11-28,SaaS,MRR,162532,813
2025-11-29,SaaS,MRR,163919,820
2025-11-30,SaaS,MRR,165597,828
2025-12-01,SaaS,MRR,165828,829
2025-12-02,SaaS,MRR,165983,830
2025-12-03,SaaS,MRR,166282,831
2025-12-04,SaaS,MRR,166439,832
2025-12-05,SaaS,MRR,166732,834
2025-12-06,SaaS,MRR,167021,835
2025-12-07,SaaS,MRR,167133,836
2025-12-08,SaaS,MRR,167244,836
2025-12-09,SaaS,MRR,167484,837
2025-12-10,SaaS,MRR,167625,838
2025-12-11,SaaS,MRR,167920,840
2025-12-12,SaaS,MRR,168065,840
2025-12-13,SaaS,MRR,168344,842
2025-12-14,SaaS,MRR,168613,843
2025-12-15,SaaS,MRR,168871,844
2025-12-16,SaaS,MRR,169027,845
2025-12-17,SaaS,MRR,169282,846
2025-12-18,SaaS,MRR,169525,848
2025-12-19,SaaS,MRR,169652,848
2025-12-20,SaaS,MRR,169892,849
2025-12-21,SaaS,MRR,170146,851
2025-12-22,SaaS,MRR,170393,852
2025-12-23,SaaS,MRR,170500,853
2025-12-24,SaaS,MRR,170725,854
2025-12-25,SaaS,MRR,170917,855
2025-12-26,SaaS,MRR,171096,855
2025-12-27,SaaS,MRR,171318,857
2025-12-28,SaaS,MRR,172385,862
2025-12-29,SaaS,MRR,173593,868
2025-12-30,SaaS,MRR,174504,873
2025-12-31,SaaS,MRR,175292,876
2026-01-01,SaaS,MRR,175549,878
2026-01-02,SaaS,MRR,175725,879
2026-01-03,SaaS,MRR,175898,879
2026-01-04,SaaS,MRR,176187,881
2026-01-05,SaaS,MRR,176346,882
2026-01-06,SaaS,MRR,176554,883
2026-01-07,SaaS,MRR,176854,884
2026-01-08,SaaS,MRR,177031,885
2026-01-09,SaaS,MRR,177188,886
2026-01-10,SaaS,MRR,177435,887
2026-01-11,SaaS,MRR,177653,888
2026-01-12,SaaS,MRR,177870,889
2026-01-13,SaaS,MRR,178053,890
2026-01-14,SaaS,MRR,178260,891
2026-01-15,SaaS,MRR,178423,892
2026-01-16,SaaS,MRR,178711,894
2026-01-17,SaaS,MRR,178840,894
2026-01-18,SaaS,MRR,179053,895
2026-01-19,SaaS,MRR,179195,896
2026-01-20,SaaS,MRR,179358,897
2026-01-21,SaaS,MRR,179657,898
2026-01-22,SaaS,MRR,179849,899
2026-01-23,SaaS,MRR,180079,900
2026-01-24,SaaS,MRR,180339,902
2026-01-25,SaaS,MRR,180571,903
2026-01-26,SaaS,MRR,180705,904
2026-01-27,SaaS,MRR,180868,904
2026-01-28,SaaS,MRR,181765,909
2026-01-29,SaaS,MRR,183500,918
2026-01-30,SaaS,MRR,184388,922
2026-01-31,SaaS,MRR,185400,927
2026-02-01,SaaS,MRR,185593,928
2026-02-02,SaaS,MRR,185840,929
2026-02-03,SaaS,MRR,186002,930
2026-02-04,SaaS,MRR,186207,931
2026-02-05,SaaS,MRR,186468,932
2026-02-06,SaaS,MRR,186668,933
2026-02-07,SaaS,MRR,186820,934
2026-02-08,SaaS,MRR,186937,935
2026-02-09,SaaS,MRR,187230,936
2026-02-10,SaaS,MRR,187377,937
2026-02-11,SaaS,MRR,187531,938
2026-02-12,SaaS,MRR,187736,939
2026-02-13,SaaS,MRR,187993,940
2026-02-14,SaaS,MRR,188185,941
2026-02-15,SaaS,MRR,188352,942
2026-02-16,SaaS,MRR,188539,943
2026-02-17,SaaS,MRR,188643,943
2026-02-18,SaaS,MRR,188813,944
2026-02-19,SaaS,MRR,189038,945
2026-02-20,SaaS,MRR,189229,946
2026-02-21,SaaS,MRR,189433,947
2026-02-22,SaaS,MRR,189552,948
2026-02-23,SaaS,MRR,189660,948
2026-02-24,SaaS,MRR,189881,949
2026-02-25,SaaS,MRR,190118,951
2026-02-26,SaaS,MRR,190398,952
2026-02-27,SaaS,MRR,190627,953
2026-02-28,SaaS,MRR,191644,958
2026-03-01,SaaS,MRR,191892,959
2026-03-02,SaaS,MRR,192138,961
2026-03-03,SaaS,MRR,192330,962
2026-03-04,SaaS,MRR,192555,963
2026-03-05,SaaS,MRR,192761,964
2026-03-06,SaaS,MRR,192877,964
2026-03-07,SaaS,MRR,193123,966
2026-03-08,SaaS,MRR,193312,967
2026-03-09,SaaS,MRR,193607,968
2026-03-10,SaaS,MRR,193723,969
2026-03-11,SaaS,MRR,193913,970
2026-03-12,SaaS,MRR,194198,971
2026-03-13,SaaS,MRR,194433,972
2026-03-14,SaaS,MRR,194581,973
