date,domain,metric,value,avg_wait_time_mins
2025-06-30,Healthcare,Bed Occupancy,319,69
2025-07-01,Healthcare,Bed Occupancy,287,76
2025-07-02,Healthcare,Bed Occupancy,289,75
2025-07-03,Healthcare,Bed Occupancy,304,68
2025-07-04,Healthcare,Bed Occupancy,305,77
2025-07-05,Healthcare,Bed Occupancy,310,76
2025-07-06,Healthcare,Bed Occupancy,294,76
2025-07-07,Healthcare,Bed Occupancy,280,63
2025-07-08,Healthcare,Bed Occupancy,302,66
2025-07-09,Healthcare,Bed Occupancy,299,74
2025-07-10,Healthcare,Bed Occupancy,280,75
2025-07-11,Healthcare,Bed Occupancy,289,68
2025-07-12,Healthcare,Bed Occupancy,287,76
2025-07-13,Healthcare,Bed Occupancy,282,72
2025-07-14,Healthcare,Bed Occupancy,282,69
2025-07-15,Healthcare,Bed Occupancy,291,77
2025-07-16,Healthcare,Bed Occupancy,296,74
2025-07-17,Healthcare,Bed Occupancy,320,83
2025-07-18,Healthcare,Bed Occupancy,302,80
2025-07-19,Healthcare,Bed Occupancy,299,81
2025-07-20,Healthcare,Bed Occupancy,307,81
2025-07-21,Healthcare,Bed Occupancy,317,79
2025-07-22,Healthcare,Bed Occupancy,292,73
2025-07-23,Healthcare,Bed Occupancy,317,68
2025-07-24,Healthcare,Bed Occupancy,302,66
2025-07-25,Healthcare,Bed Occupancy,317,73
2025-07-26,Healthcare,Bed Occupancy,314,82
2025-07-27,Healthcare,Bed Occupancy,312,77
2025-07-28,Healthcare,Bed Occupancy,301,69
2025-07-29,Healthcare,Bed Occupancy,297,66
2025-07-30,Healthcare,Bed Occupancy,298,81
2025-07-31,Healthcare,Bed Occupancy,309,64
2025-08-01,Healthcare,Bed Occupancy,306,78
2025-08-02,Healthcare,Bed Occupancy,293,61
2025-08-03,Healthcare,Bed Occupancy,293,61
2025-08-04,Healthcare,Bed Occupancy,314,83
2025-08-05,Healthcare,Bed Occupancy,284,60
2025-08-06,Healthcare,Bed Occupancy,288,65
2025-08-07,Healthcare,Bed Occupancy,318,77
2025-08-08,Healthcare,Bed Occupancy,296,80
2025-08-09,Healthcare,Bed Occupancy,287,60
2025-08-10,Healthcare,Bed Occupancy,296,62
2025-08-11,Healthcare,Bed Occupancy,319,76
2025-08-12,Healthcare,Bed Occupancy,319,82
2025-08-13,Healthcare,Bed Occupancy,319,86
2025-08-14,Healthcare,Bed Occupancy,313,76
2025-08-15,Healthcare,Bed Occupancy,296,63
2025-08-16,Healthcare,Bed Occupancy,300,63
2025-08-17,Healthcare,Bed Occupancy,307,80
2025-08-18,Healthcare,Bed Occupancy,286,66
2025-08-19,Healthcare,Bed Occupancy,316,71
2025-08-20,Healthcare,Bed Occupancy,306,72
2025-08-21,Healthcare,Bed Occupancy,302,80
2025-08-22,Healthcare,Bed Occupancy,305,80
2025-08-23,Healthcare,Bed Occupancy,296,77
2025-08-24,Healthcare,Bed Occupancy,292,71
2025-08-25,Healthcare,Bed Occupancy,316,67
2025-08-26,Healthcare,Bed Occupancy,305,76
2025-08-27,Healthcare,Bed Occupancy,310,82
2025-08-28,Healthcare,Bed Occupancy,303,82
2025-08-29,Healthcare,Bed Occupancy,316,82
2025-08-30,Healthcare,Bed Occupancy,306,72
2025-08-31,Healthcare,Bed Occupancy,280,73
2025-09-01,Healthcare,Bed Occupancy,290,72
2025-09-02,Healthcare,Bed Occupancy,312,70
2025-09-03,Healthcare,Bed Occupancy,301,79
2025-09-04,Healthcare,Bed Occupancy,288,72
2025-09-05,Healthcare,Bed Occupancy,297,66
2025-09-06,Healthcare,Bed Occupancy,312,76
2025-09-07,Healthcare,Bed Occupancy,297,79
2025-09-08,Healthcare,Bed Occupancy,314,79
2025-09-09,Healthcare,Bed Occupancy,310,84
2025-09-10,Healthcare,Bed Occupancy,314,84
2025-09-11,Healthcare,Bed Occupancy,291,72
2025-09-12,Healthcare,Bed Occupancy,300,80
2025-09-13,Healthcare,Bed Occupancy,282,75
2025-09-14,Healthcare,Bed Occupancy,317,68
2025-09-15,Healthcare,Bed Occupancy,294,65
2025-09-16,Healthcare,Bed Occupancy,320,82
2025-09-17,Healthcare,Bed Occupancy,286,62
2025-09-18,Healthcare,Bed Occupancy,289,74
2025-09-19,Healthcare,Bed Occupancy,299,68
2025-09-20,Healthcare,Bed Occupancy,298,64
2025-09-21,Healthcare,Bed Occupancy,298,75
2025-09-22,Healthcare,Bed Occupancy,312,67
2025-09-23,Healthcare,Bed Occupancy,283,70
2025-09-24,Healthcare,Bed Occupancy,294,77
2025-09-25,Healthcare,Bed Occupancy,281,66
2025-09-26,Healthcare,Bed Occupancy,300,68
2025-09-27,Healthcare,Bed Occupancy,281,57
2025-09-28,Healthcare,Bed Occupancy,313,75
2025-09-29,Healthcare,Bed Occupancy,290,63
2025-09-30,Healthcare,Bed Occupancy,295,71
2025-10-01,Healthcare,Bed Occupancy,311,84
2025-10-02,Healthcare,Bed Occupancy,301,74
2025-10-03,Healthcare,Bed Occupancy,285,78
2025-10-04,Healthcare,Bed Occupancy,299,68
2025-10-05,Healthcare,Bed Occupancy,315,80
2025-10-06,Healthcare,Bed Occupancy,315,70
2025-10-07,Healthcare,Bed Occupancy,294,72
2025-10-08,Healthcare,Bed Occupancy,313,82
2025-10-09,Healthcare,Bed Occupancy,315,75
2025-10-10,Healthcare,Bed Occupancy,284,71
2025-10-11,Healthcare,Bed Occupancy,297,77
2025-10-12,Healthcare,Bed Occupancy,286,61
2025-10-13,Healthcare,Bed Occupancy,283,69
2025-10-14,Healthcare,Bed Occupancy,299,76
2025-10-15,Healthcare,Bed Occupancy,303,66
2025-10-16,Healthcare,Bed Occupancy,312,76
2025-10-17,Healthcare,Bed Occupancy,292,72
2025-10-18,Healthcare,Bed Occupancy,305,71
2025-10-19,Healthcare,Bed Occupancy,312,79
2025-10-20,Healthcare,Bed Occupancy,299,81
2025-10-21,Healthcare,Bed Occupancy,302,69
2025-10-22,Healthcare,Bed Occupancy,318,77
2025-10-23,Healthcare,Bed Occupancy,317,73
2025-10-24,Healthcare,Bed Occupancy,280,73
2025-10-25,Healthcare,Bed Occupancy,285,61
2025-10-26,Healthcare,Bed Occupancy,304,66
2025-10-27,Healthcare,Bed Occupancy,302,63
2025-10-28,Healthcare,Bed Occupancy,314,74
2025-10-29,Healthcare,Bed Occupancy,310,73
2025-10-30,Healthcare,Bed Occupancy,312,71
2025-10-31,Healthcare,Bed Occupancy,296,71
2025-11-01,Healthcare,Bed Occupancy,286,64
2025-11-02,Healthcare,Bed Occupancy,318,86
2025-11-03,Healthcare,Bed Occupancy,303,76
2025-11-04,Healthcare,Bed Occupancy,296,68
2025-11-05,Healthcare,Bed Occupancy,291,72
2025-11-06,Healthcare,Bed Occupancy,296,74
2025-11-07,Healthcare,Bed Occupancy,303,78
2025-11-08,Healthcare,Bed Occupancy,286,75
2025-11-09,Healthcare,Bed Occupancy,310,69
2025-11-10,Healthcare,Bed Occupancy,288,68
2025-11-11,Healthcare,Bed Occupancy,320,84
2025-11-12,Healthcare,Bed Occupancy,314,75
2025-11-13,Healthcare,Bed Occupancy,315,70
2025-11-14,Healthcare,Bed Occupancy,298,71
2025-11-15,Healthcare,Bed Occupancy,289,77
2025-11-16,Healthcare,Bed Occupancy,296,78
2025-11-17,Healthcare,Bed Occupancy,320,74
2025-11-18,Healthcare,Bed Occupancy,318,69
2025-11-19,Healthcare,Bed Occupancy,308,69
2025-11-20,Healthcare,Bed Occupancy,295,65
2025-11-21,Healthcare,Bed Occupancy,301,70
2025-11-22,Healthcare,Bed Occupancy,293,65
2025-11-23,Healthcare,Bed Occupancy,304,83
2025-11-24,Healthcare,Bed Occupancy,299,63
2025-11-25,Healthcare,Bed Occupancy,300,63
2025-11-26,Healthcare,Bed Occupancy,310,83
2025-11-27,Healthcare,Bed Occupancy,287,71
2025-11-28,Healthcare,Bed Occupancy,318,80
2025-11-29,Healthcare,Bed Occupancy,291,63
2025-11-30,Healthcare,Bed Occupancy,285,59
2025-12-01,Healthcare,Bed Occupancy,359,82
2025-12-02,Healthcare,Bed Occupancy,399,96
2025-12-03,Healthcare,Bed Occupancy,378,87
2025-12-04,Healthcare,Bed Occupancy,364,85
2025-12-05,Healthcare,Bed Occupancy,390,104
2025-12-06,Healthcare,Bed Occupancy,350,83
2025-12-07,Healthcare,Bed Occupancy,371,96
2025-12-08,Healthcare,Bed Occupancy,351,86
2025-12-09,Healthcare,Bed Occupancy,386,84
2025-12-10,Healthcare,Bed Occupancy,356,88
2025-12-11,Healthcare,Bed Occupancy,383,102
2025-12-12,Healthcare,Bed Occupancy,389,97
2025-12-13,Healthcare,Bed Occupancy,350,74
2025-12-14,Healthcare,Bed Occupancy,393,102
2025-12-15,Healthcare,Bed Occupancy,359,94
2025-12-16,Healthcare,Bed Occupancy,379,101
2025-12-17,Healthcare,Bed Occupancy,400,92
2025-12-18,Healthcare,Bed Occupancy,380,93
2025-12-19,Healthcare,Bed Occupancy,355,84
2025-12-20,Healthcare,Bed Occupancy,396,95
2025-12-21,Healthcare,Bed Occupancy,368,93
2025-12-22,Healthcare,Bed Occupancy,369,81
2025-12-23,Healthcare,Bed Occupancy,381,99
2025-12-24,Healthcare,Bed Occupancy,399,102
2025-12-25,Healthcare,Bed Occupancy,371,87
2025-12-26,Healthcare,Bed Occupancy,359,81
2025-12-27,Healthcare,Bed Occupancy,368,94
2025-12-28,Healthcare,Bed Occupancy,370,88
2025-12-29,Healthcare,Bed Occupancy,384,85
2025-12-30,Healthcare,Bed Occupancy,389,85
2025-12-31,Healthcare,Bed Occupancy,374,91
2026-01-01,Healthcare,Bed Occupancy,371,79
2026-01-02,Healthcare,Bed Occupancy,385,97
2026-01-03,Healthcare,Bed Occupancy,391,103
2026-01-04,Healthcare,Bed Occupancy,365,95
2026-01-05,Healthcare,Bed Occupancy,390,85
2026-01-06,Healthcare,Bed Occupancy,361,88
2026-01-07,Healthcare,Bed Occupancy,390,94
2026-01-08,Healthcare,Bed Occupancy,374,91
2026-01-09,Healthcare,Bed Occupancy,391,88
2026-01-10,Healthcare,Bed Occupancy,368,94
2026-01-11,Healthcare,Bed Occupancy,353,93
2026-01-12,Healthcare,Bed Occupancy,399,102
2026-01-13,Healthcare,Bed Occupancy,376,100
2026-01-14,Healthcare,Bed Occupancy,364,92
2026-01-15,Healthcare,Bed Occupancy,394,86
2026-01-16,Healthcare,Bed Occupancy,384,82
2026-01-17,Healthcare,Bed Occupancy,398,93
2026-01-18,Healthcare,Bed Occupancy,385,91
2026-01-19,Healthcare,Bed Occupancy,358,95
2026-01-20,Healthcare,Bed Occupancy,394,103
2026-01-21,Healthcare,Bed Occupancy,395,98
2026-01-22,Healthcare,Bed Occupancy,364,80
2026-01-23,Healthcare,Bed Occupancy,374,82
2026-01-24,Healthcare,Bed Occupancy,399,89
2026-01-25,Healthcare,Bed Occupancy,395,86
2026-01-26,Healthcare,Bed Occupancy,389,98
2026-01-27,Healthcare,Bed Occupancy,378,91
2026-01-28,Healthcare,Bed Occupancy,389,92
2026-01-29,Healthcare,Bed Occupancy,385,86
2026-01-30,Healthcare,Bed Occupancy,388,102
2026-01-31,Healthcare,Bed Occupancy,378,85
2026-02-01,Healthcare,Bed Occupancy,390,91
2026-02-02,Healthcare,Bed Occupancy,366,79
2026-02-03,Healthcare,Bed Occupancy,351,89
2026-02-04,Healthcare,Bed Occupancy,399,103
2026-02-05,Healthcare,Bed Occupancy,360,76
2026-02-06,Healthcare,Bed Occupancy,358,76
2026-02-07,Healthcare,Bed Occupancy,369,91
2026-02-08,Healthcare,Bed Occupancy,359,89
2026-02-09,Healthcare,Bed Occupancy,388,97
2026-02-10,Healthcare,Bed Occupancy,375,89
2026-02-11,Healthcare,Bed Occupancy,384,84
2026-02-12,Healthcare,Bed Occupancy,354,76
2026-02-13,Healthcare,Bed Occupancy,399,98
2026-02-14,Healthcare,Bed Occupancy,351,94
2026-02-15,Healthcare,Bed Occupancy,369,93
2026-02-16,Healthcare,Bed Occupancy,380,87
2026-02-17,Healthcare,Bed Occupancy,369,88
2026-02-18,Healthcare,Bed Occupancy,359,95
2026-02-19,Healthcare,Bed Occupancy,375,94
2026-02-20,Healthcare,Bed Occupancy,396,96
2026-02-21,Healthcare,Bed Occupancy,380,91
2026-02-22,Healthcare,Bed Occupancy,394,86
2026-02-23,Healthcare,Bed Occupancy,354,83
2026-02-24,Healthcare,Bed Occupancy,390,86
2026-02-25,Healthcare,Bed Occupancy,389,86
2026-02-26,Healthcare,Bed Occupancy,375,89
2026-02-27,Healthcare,Bed Occupancy,370,94
2026-02-28,Healthcare,Bed Occupancy,364,85
2026-03-01,Healthcare,Bed Occupancy,290,75
2026-03-02,Healthcare,Bed Occupancy,320,87
2026-03-03,Healthcare,Bed Occupancy,303,76
2026-03-04,Healthcare,Bed Occupancy,306,67
2026-03-05,Healthcare,Bed Occupancy,295,79
2026-03-06,Healthcare,Bed Occupancy,320,80
2026-03-07,Healthcare,Bed Occupancy,290,75
2026-03-08,Healthcare,Bed Occupancy,280,76
2026-03-09,Healthcare,Bed Occupancy,282,59
2026-03-10,Healthcare,Bed Occupancy,317,85
2026-03-11,Healthcare,Bed Occupancy,284,72
2026-03-12,Healthcare,Bed Occupancy,317,74
2026-03-13,Healthcare,Bed Occupancy,281,70
2026-03-14,Healthcare,Bed Occupancy,284,63
