order_id,customer_id,order_date,revenue,quantity,category,status,product_id,sku,unit_price,cost_of_goods,shipping_cost,tax_amount,discount_amount,channel,payment_method,customer_type,region,is_returned,return_reason
ORD-10051,CUST-18,2025-10-13,257.33,4,Home,Returned,PROD-200,SKU-2216,64.33,102.93,11.21,20.59,0.00,Web,Debit Card,New,North,FALSE,
ORD-10052,CUST-18,Thu Nov 27 2025,246.13,4,Home,Completed,PROD-646,SKU-3942,61.53,98.45,13.57,19.69,0.00,Social Media,Credit Card,New,West,FALSE,
ORD-10053,CUST-18,2024-11-09,129.66,3,Sports,Returned,PROD-593,SKU-296,43.22,51.86,1.17,10.37,0.00,Mobile App,Crypto,Returning,International,FALSE,
ORD-10054,CUST-19,2023-04-03,144.60,1,Beauty,Shipped,PROD-108,SKU-1158,144.60,57.84,15.75,11.57,0.00,Mobile App,Credit Card,New,North,FALSE,
ORD-10055,CUST-19,2023-08-09,251.14,5,Beauty,Shipped,PROD-937,SKU-823,50.23,100.46,17.16,20.09,0.00,Social Media,Credit Card,Returning,North,FALSE,
ORD-10056,CUST-19,2023-03-16,373.79,3,Home,Pending,PROD-397,SKU-1937,124.60,149.52,10.82,29.90,0.00,Mobile App,Debit Card,New,International,FALSE,
ORD-10057,CUST-20,2024-09-02,420.85,5,Sports,Cancelled,PROD-515,SKU-3420,84.17,168.34,4.18,33.67,0.00,Web,Crypto,VIP,West,FALSE,
ORD-10058,CUST-20,2024-11-30,134.05,2,Beauty,Returned,PROD-79,SKU-4587,67.03,53.62,10.30,10.72,0.00,Mobile App,Credit Card,Returning,West,FALSE,
ORD-10059,CUST-20,8/3/2023,127.89,4,Home,Cancelled,PROD-41,SKU-3724,31.97,51.16,9.52,10.23,0.00,Web,Credit Card,Returning,East,FALSE,
ORD-10060,CUST-21,2023-04-27,358.60,5,Electronics,Shipped,PROD-873,SKU-3857,71.72,143.44,17.33,28.69,0.00,Social Media,Debit Card,New,East,TRUE,
ORD-10061,CUST-21,2024-06-11,121.65,5,Home,Returned,PROD-953,SKU-634,24.33,48.66,14.57,9.73,0.00,Affiliate,Crypto,VIP,International,FALSE,
ORD-10062,CUST-21,2024-08-06,508.22,5,Home,Shipped,PROD-108,SKU-943,101.64,203.29,8.14,40.66,0.00,Affiliate,Credit Card,New,West,FALSE,
ORD-10063,CUST-22,2024-10-31,219.74,3,Sports,Pending,PROD-164,SKU-338,73.25,87.90,15.65,17.58,0.00,Web,Debit Card,VIP,East,FALSE,
ORD-10064,CUST-22,2023-10-03,232.88,5,Fashion,Completed,PROD-48,SKU-4512,46.58,93.15,10.00,18.63,0.00,Mobile App,Debit Card,Returning,East,FALSE,
ORD-10065,CUST-22,2023-09-03,461.85,3,Home,Completed,PROD-200,SKU-1498,153.95,184.74,0.05,36.95,46.18,Affiliate,Debit Card,Returning,South,FALSE,
ORD-10066,CUST-23,2025-09-14, 446.90 ,1,Electronics,Pending,PROD-593,SKU-4327,446.90,178.76,4.88,35.75,0.00,Web,Credit Card,New,South,FALSE,
ORD-10067,CUST-23,10/1/2024,469.95,2,Sports,Completed,PROD-237,SKU-3645,234.97,187.98,4.69,37.60,0.00,Social Media,Debit Card,Returning,North,FALSE,
ORD-10068,CUST-23,2023-02-25, 355.62 ,1,Fashion,Returned,PROD-701,SKU-4125,355.62,142.25,7.61,28.45,35.56,Web,Crypto,Returning,North,FALSE,
ORD-10069,CUST-24,2025-11-26,488.00,3,Home,Returned,PROD-91,SKU-1898,162.67,195.20,18.66,39.04,0.00,Mobile App,Debit Card,Returning,North,FALSE,
ORD-10070,CUST-24,2023-11-20, 120.75 ,3,Beauty,Returned,PROD-129,SKU-2744,40.25,48.30,8.18,9.66,12.07,Affiliate,PayPal,VIP,West,FALSE,
ORD-10071,CUST-24,2023-10-30, 186.93 ,4,Beauty,Cancelled,PROD-950,SKU-1362,46.73,74.77,0.07,14.95,18.69,Mobile App,PayPal,Returning,International,FALSE,
ORD-10072,CUST-25,2023-04-13,92.23,2,Beauty,Cancelled,PROD-26,SKU-252,46.11,36.89,18.97,7.38,9.22,Web,Crypto,VIP,North,FALSE,
ORD-10073,CUST-25,2023-10-24,147.64,5,Sports,Pending,PROD-875,SKU-1962,29.53,59.06,9.62,11.81,0.00,Mobile App,PayPal,VIP,International,FALSE,
ORD-10074,CUST-25,2024-04-30,325.17,5,Home,Shipped,PROD-336,SKU-2967,65.03,130.07,6.88,26.01,32.52,Mobile App,Crypto,Returning,West,FALSE,
ORD-10075,CUST-26,2023-03-18,250.86,4,Beauty,Shipped,PROD-586,SKU-2239,62.71,100.34,3.61,20.07,0.00,Social Media,PayPal,Returning,West,FALSE,
ORD-10076,CUST-26,2024-04-09,392.52,5,Beauty,Shipped,PROD-794,SKU-940,78.50,157.01,15.50,31.40,0.00,Mobile App,PayPal,New,North,FALSE,
ORD-10077,CUST-26,2025-07-02,158.19,5,Fashion,Completed,PROD-351,SKU-3989,31.64,63.28,8.78,12.66,15.82,Mobile App,Crypto,VIP,South,TRUE,
ORD-10078,CUST-27,2025-06-04,434.12,200,Fashion,Pending,PROD-571,SKU-3949,217.06,173.65,11.10,34.73,43.41,Web,Credit Card,VIP,West,FALSE,
ORD-10079,CUST-27,2024-12-23,,5,Sports,Pending,PROD-493,SKU-3503,34.93,69.87,18.23,13.97,0.00,Mobile App,Crypto,New,East,FALSE,
ORD-10080,CUST-27,2023-05-06,146.97,4,Fashion,Completed,PROD-97,SKU-3405,36.74,58.79,3.57,11.76,0.00,Affiliate,Debit Card,Returning,East,TRUE,
ORD-10081,CUST-28,2023-03-16,55.01,4,Sports,Pending,PROD-472,SKU-916,13.75,22.00,19.17,4.40,0.00,Affiliate,Debit Card,New,International,FALSE,
ORD-10082,CUST-28,Wed May 21 2025,139.52,4,Home,Pending,PROD-691,SKU-4667,34.88,55.81,1.44,11.16,0.00,Web,Debit Card,Returning,South,FALSE,
ORD-10083,CUST-28,1692704741558,369.39,3,Sports,Shipped,PROD-462,SKU-1191,123.13,147.75,2.34,29.55,0.00,Web,PayPal,VIP,North,FALSE,
ORD-10084,CUST-29,2024-05-09,263.47,2,Fashion,Completed,PROD-679,SKU-74,131.73,105.39,5.79,21.08,0.00,Affiliate,Debit Card,New,West,FALSE,
ORD-10085,CUST-29,2024-06-29,392.77,5,Fashion,Shipped,PROD-402,SKU-4867,78.55,157.11,0.40,31.42,0.00,Mobile App,Credit Card,Returning,International,FALSE,
ORD-10086,CUST-29,2023-06-27,94.43,1,Electronics,Returned,PROD-171,SKU-219,94.43,37.77,7.44,7.55,0.00,Web,Crypto,VIP,West,FALSE,
ORD-10087,CUST-30,2025-05-06,487.67,2,Electronics,Cancelled,PROD-62,SKU-4017,243.84,195.07,7.10,39.01,0.00,Social Media,Crypto,Returning,West,FALSE,
ORD-10088,CUST-30,2023-02-11,242.86,2,Sports,Shipped,PROD-797,SKU-941,121.43,97.14,18.43,19.43,0.00,Affiliate,Debit Card,Returning,North,FALSE,
ORD-10089,CUST-30,Wed May 31 2023,224.00,2,Fashion,Pending,PROD-735,SKU-1809,112.00,89.60,17.15,17.92,0.00,Mobile App,PayPal,VIP,North,FALSE,
ORD-10090,CUST-31,2025-04-01,251.60,4,Home,Completed,PROD-723,SKU-2543,62.90,100.64,6.03,20.13,0.00,Web,Crypto,Returning,International,FALSE,
ORD-10091,CUST-31,2025-10-30,240.25,4,Fashion,Pending,PROD-419,SKU-621,60.06,96.10,17.23,19.22,0.00,Affiliate,Credit Card,Returning,North,TRUE,
ORD-10092,CUST-31,2023-10-01,450.89,4,Electronics,Shipped,PROD-93,SKU-1954,112.72,180.36,17.47,36.07,0.00,Mobile App,Debit Card,New,West,FALSE,
ORD-10093,CUST-32,2024-11-13,464.25,2,Sports,Pending,PROD-969,SKU-1285,232.12,185.70,1.13,37.14,0.00,Affiliate,Debit Card,Returning,North,FALSE,
ORD-10094,CUST-32,2023-11-01,371.99,5,Beauty,Cancelled,PROD-267,SKU-4588,74.40,148.80,8.02,29.76,0.00,Social Media,Debit Card,New,East,FALSE,
ORD-10095,CUST-32,2024-11-16,122.20,4,Beauty,Completed,PROD-741,SKU-2518,30.55,48.88,19.58,9.78,0.00,Web,PayPal,New,International,FALSE,
ORD-10096,CUST-33,2024-08-21,183.92,4, Fashion ,Completed,PROD-425,SKU-1699,45.98,73.57,6.98,14.71,0.00,Mobile App,PayPal,Returning,North,FALSE,
ORD-10097,CUST-33,2023-01-14,425.18,4,Home,Completed,PROD-702,SKU-4031,106.30,170.07,3.87,34.01,42.52,Mobile App,Credit Card,New,South,FALSE,
ORD-10098,CUST-33,2023-03-31,227.66,1,Fashion,Shipped,PROD-676,SKU-751,227.66,91.06,11.20,18.21,0.00,Mobile App,Debit Card,VIP,West,FALSE,
ORD-10099,CUST-34,2026-01-04,100.07,5,Beauty,Pending,PROD-511,SKU-2041,20.01,40.03,8.59,8.01,0.00,Mobile App,Debit Card,VIP,International,FALSE,
ORD-10100,CUST-34,2025-12-19,201.05,3,Home,Returned,PROD-165,SKU-4977,67.02,80.42,17.09,16.08,0.00,Mobile App,PayPal,VIP,International,FALSE,
ORD-10101,CUST-34,2025-12-18,501.23,5,Home,Shipped,PROD-819,SKU-2882,100.25,200.49,6.27,40.10,50.12,Affiliate,Credit Card,VIP,International,TRUE,
ORD-10102,CUST-35,2023-07-12,471.76,2,Fashion,Completed,PROD-492,SKU-1519,235.88,188.70,9.77,37.74,0.00,Mobile App,Credit Card,Returning,West,FALSE,Defective
ORD-10103,CUST-35,2024-11-06, 470.82 ,5,Beauty,Returned,PROD-407,SKU-2166,94.16,188.33,19.44,37.67,0.00,Web,Debit Card,New,West,FALSE,
ORD-10104,CUST-35,2023-08-23,335.06,3,Electronics,Shipped,PROD-234,SKU-3971,111.69,134.02,4.96,26.80,0.00,Web,Debit Card,VIP,South,FALSE,
ORD-10105,CUST-36,2024-08-22,490.73,4,Sports,Cancelled,PROD-650,SKU-692,122.68,196.29,7.03,39.26,49.07,Web,Debit Card,VIP,North,FALSE,
ORD-10106,CUST-36,2023-10-02,506.21,300,Electronics,Returned,PROD-826,SKU-63,168.74,202.48,7.29,40.50,0.00,Social Media,PayPal,Returning,West,FALSE,
ORD-10107,CUST-36,2023-12-23,25.70,3,Home,Shipped,PROD-210,SKU-2242,8.57,10.28,16.92,2.06,0.00,Affiliate,Credit Card,VIP,South,FALSE,
ORD-10108,CUST-37,2026-01-16,137.07,4,Sports,Pending,PROD-567,SKU-2230,34.27,54.83,16.56,10.97,13.71,Social Media,Crypto,VIP,International,FALSE,
ORD-10109,CUST-37,2025-02-18,110.71,2,Home,Completed,PROD-868,SKU-2877,55.35,44.28,4.94,8.86,0.00,Affiliate,Debit Card,New,International,FALSE,
ORD-10110,CUST-37,2023-06-07,309.75,5,Sports,Pending,PROD-266,SKU-325,61.95,123.90,12.74,24.78,30.97,Web,Crypto,New,West,FALSE,
ORD-10111,CUST-38,2025-03-18,31.06,2,Electronics,Shipped,PROD-238,SKU-3533,15.53,12.43,6.72,2.49,0.00,Social Media,Credit Card,VIP,West,FALSE,
ORD-10112,CUST-38,2023-04-18,273.21,1,Sports,Completed,PROD-260,SKU-1537,273.21,109.28,9.42,21.86,0.00,Social Media,PayPal,VIP,East,FALSE,
ORD-10113,CUST-38,2025-06-10,161.81,1,,Cancelled,PROD-803,SKU-3002,161.81,64.72,12.73,12.94,0.00,Social Media,Crypto,New,South,FALSE,
ORD-10114,CUST-39,2024-12-16,425.21,1,Electronics,Shipped,PROD-347,SKU-4926,425.21,170.09,9.32,34.02,42.52,Social Media,Credit Card,New,North,FALSE,
ORD-10115,CUST-39,2024-03-31,271.64,4,,Shipped,PROD-551,SKU-3217,67.91,108.66,6.92,21.73,0.00,Affiliate,Crypto,VIP,International,FALSE,
ORD-10116,CUST-39,1754905722520,56.71,2,Beauty,Cancelled,PROD-930,SKU-3103,28.36,22.69,2.81,4.54,0.00,Social Media,PayPal,Returning,East,FALSE,
ORD-10117,CUST-40,2024-06-30,202.20,5,Home,Returned,PROD-439,SKU-3030,40.44,80.88,18.59,16.18,20.22,Mobile App,Credit Card,VIP,West,FALSE,
ORD-10118,CUST-40,2023-05-05,336.64,2,Fashion,Pending,PROD-542,SKU-1355,168.32,134.66,2.44,26.93,0.00,Social Media,Crypto,Returning,International,FALSE,
ORD-10119,CUST-40,2025-10-31,228.09,2,Home,Cancelled,PROD-664,SKU-1822,114.05,91.24,4.43,18.25,0.00,Web,Debit Card,New,South,FALSE,
ORD-10120,CUST-41,2023-03-25,208.03,2,Fashion,Completed,PROD-835,SKU-4601,104.02,83.21,19.20,16.64,0.00,Web,PayPal,Returning,North,FALSE,
ORD-10121,CUST-41,2024-09-10,144.94,2,Sports,Completed,PROD-71,SKU-2150,72.47,57.98,8.44,11.60,0.00,Mobile App,Debit Card,Returning,North,FALSE,
ORD-10122, CUST-41 ,2024-01-14,139.18,2,Sports,Returned,PROD-817,SKU-1613,69.59,55.67,3.61,11.13,13.92,Affiliate,Crypto,VIP,International,FALSE,
ORD-10123,CUST-42,2025-05-24,486.36,5,Electronics,Pending,PROD-996,SKU-1390,97.27,194.54,10.54,38.91,0.00,Web,PayPal,Returning,International,FALSE,
ORD-10124,CUST-42,2025-09-25,168.85,1,Fashion,Shipped,PROD-198,SKU-4196,168.85,67.54,3.26,13.51,0.00,Social Media,PayPal,New,East,FALSE,
ORD-10125,,2023-09-21,357.44,3,Fashion,Returned,PROD-988,SKU-2743,119.15,142.98,10.89,28.60,0.00,Affiliate,Credit Card,New,International,FALSE,
ORD-10126,CUST-43,2023-08-24,30.49,4,Electronics,Completed,PROD-68,SKU-1321,7.62,12.19,5.34,2.44,0.00,Mobile App,Debit Card,VIP,West,FALSE,
ORD-10127,CUST-43,2023-05-07,115.11,4,Electronics,Completed,PROD-58,SKU-3421,28.78,46.04,11.59,9.21,0.00,Mobile App,PayPal,VIP,South,FALSE,
ORD-10128,CUST-43,2024-03-11,425.68,5,Fashion,Cancelled,PROD-103,SKU-3539,85.14,170.27,18.78,34.05,0.00,Social Media,Debit Card,New,West,FALSE,
ORD-10129,CUST-44,2025-09-14,446.23,3,Home,Completed,PROD-1,SKU-3095,148.74,178.49,15.40,35.70,0.00,Web,Crypto,Returning,International,FALSE,
ORD-10130,CUST-44,Wed Sep 06 2023,20.06,1,Electronics,Completed,PROD-454,SKU-1558,20.06,8.02,12.65,1.60,0.00,Affiliate,Debit Card,New,West,FALSE,
ORD-10131,CUST-44,2024-05-30,449.07,200,Home,Shipped,PROD-648,SKU-10,224.54,179.63,16.42,35.93,0.00,Mobile App,Debit Card,Returning,West,FALSE,
ORD-10132,CUST-45,2025-12-16,448.17,4,Fashion,Shipped,PROD-668,SKU-3256,112.04,179.27,15.79,35.85,0.00,Mobile App,PayPal,Returning,East,FALSE,
ORD-10133,CUST-45,2024-08-27,133.80,2,Fashion,Completed,PROD-956,SKU-818,66.90,53.52,11.09,10.70,0.00,Web,Credit Card,New,West,FALSE,
ORD-10134,CUST-45,2025-07-22,404.93,1,Home,Shipped,PROD-960,SKU-2487,404.93,161.97,5.93,32.39,0.00,Mobile App,Crypto,Returning,South,FALSE,
ORD-10135,CUST-46,2026-01-23,442.71,3,,Pending,PROD-398,SKU-2656,147.57,177.08,16.88,35.42,0.00,Social Media,Crypto,Returning,East,FALSE,
ORD-10136,CUST-46,2025-11-23,101.93,4,Electronics,Shipped,PROD-43,SKU-4974,25.48,40.77,15.12,8.15,0.00,Social Media,Credit Card,Returning,North,FALSE,
ORD-10137,CUST-46,2024-12-26,236.76,5,Electronics,Pending,PROD-780,SKU-1262,47.35,94.70,0.69,18.94,0.00,Affiliate,Crypto,New,International,FALSE,
ORD-10138,CUST-47,2023-02-14,218.12,4,Home,Returned,PROD-910,SKU-4404,54.53,87.25,8.52,17.45,0.00,Mobile App,Credit Card,VIP,International,FALSE,
ORD-10139,CUST-47,2024-08-18,158.36,5,Beauty,Pending,PROD-543,SKU-2790,31.67,63.34,1.05,12.67,0.00,Social Media,Crypto,New,West,FALSE,
ORD-10140,CUST-47,2024-05-21,468.54,1,Home,Returned,PROD-59,SKU-1290,468.54,187.42,4.67,37.48,0.00,Affiliate,PayPal,New,International,FALSE,
ORD-10141,CUST-48,2024-06-03,281.54,5,Fashion,Shipped,PROD-295,SKU-4585,56.31,112.62,17.29,22.52,28.15,Social Media,Crypto,VIP,North,FALSE,
ORD-10142,CUST-48,2023-08-02,102.04,4,Beauty,Shipped,PROD-626,SKU-1521,25.51,40.82,6.98,8.16,0.00,Web,Credit Card,New,South,FALSE,
ORD-10143,CUST-48,2024-02-15,367.29,5,Electronics,Pending,PROD-697,SKU-4111,73.46,146.91,11.32,29.38,0.00,Affiliate,PayPal,Returning,International,FALSE,
ORD-10144,CUST-49,2024-01-04,496.16,4,Sports,Shipped,PROD-382,SKU-2827,124.04,198.46,10.80,39.69,0.00,Web,Crypto,VIP,South,FALSE,
ORD-10145,CUST-49,2023-03-22,497.49,2,Beauty,Cancelled,PROD-151,SKU-3253,248.74,198.99,16.24,39.80,49.75,Social Media,Crypto,Returning,International,FALSE,
ORD-10146,CUST-49,2025-08-20,351.86,2,Sports,Returned,PROD-828,SKU-544,175.93,140.74,8.51,28.15,35.19,Mobile App,Credit Card,New,North,TRUE,
ORD-10147,CUST-50,Sun Feb 23 2025,407.36,5,,Returned,PROD-409,SKU-4216,81.47,162.94,18.68,32.59,0.00,Web,Credit Card,Returning,East,FALSE,
ORD-10148,CUST-50,2024-03-13,335.90,200,Beauty,Cancelled,PROD-431,SKU-2727,167.95,134.36,18.37,26.87,0.00,Social Media,Credit Card,New,South,FALSE,
ORD-10149,CUST-50,2024-07-01,201.67,4,Sports,Returned,PROD-765,SKU-3432,50.42,80.67,1.20,16.13,0.00,Web,Credit Card,VIP,South,FALSE,
ORD-10150,,2024-09-06,459.36,5,Home,Completed,PROD-77,SKU-1838,91.87,183.75,18.16,36.75,0.00,Social Media,Debit Card,New,South,FALSE,
ORD-10151,CUST-51,2025-01-09,271.01,,Beauty,Returned,PROD-692,SKU-4843,67.75,108.40,14.43,21.68,0.00,Social Media,Debit Card,VIP,South,FALSE,
ORD-10152,CUST-51,2025-11-30,386.05,3,Sports,Shipped,PROD-929,SKU-3762,128.68,154.42,7.90,30.88,38.60,Social Media,Crypto,New,West,FALSE,
ORD-10153,CUST-52,2025-02-14,117.00,3,Fashion,Returned,PROD-276,SKU-4038,39.00,46.80,11.42,9.36,0.00,Mobile App,Debit Card,New,South,FALSE,
ORD-10154,CUST-52,2025-11-18,120.92,5,Beauty,Cancelled,PROD-283,SKU-375,24.18,48.37,14.48,9.67,12.09,Mobile App,Crypto,New,South,FALSE,
