transaction_id,store_id,sku,barcode,category,quantity,sales,cogs,discount,mrp,tax,date
TXN-10017,STORE-CHN-04,SKU-APRL-017,8901234500007,Apparel,2,2800,1800,200,3000,504,2024-01-10
TXN-10018,STORE-CHN-04,SKU-ELECT-018,8901234500008,Electronics,1,55000,40000,2500,57500,9900,2024-01-10
TXN-10019,STORE-HYD-05,SKU-HOME-019,8901234500009,Home & Kitchen,1,2100,1400,100,2200,378,2024-01-11
TXN-10020,STORE-HYD-05,SKU-GROC-020,8901234500010,Groceries,15,1800,1260,100,1900,324,2024-01-11
TXN-10021,STORE-BLR-01,SKU-ELECT-021,8901234500011,Electronics,2,18000,13000,1000,19000,3240,2024-01-12
TXN-10022,STORE-BLR-01,SKU-APRL-022,8901234500012,Apparel,3,3300,2100,300,3600,594,2024-01-12
TXN-10023,STORE-MUM-02,SKU-GROC-023,8901234500013,Groceries,9,1080,756,60,1140,194.4,2024-01-13
TXN-10024,STORE-MUM-02,SKU-HOME-024,8901234500014,Home & Kitchen,2,5600,3800,400,6000,1008,2024-01-13
TXN-10025,STORE-DEL-03,SKU-ELECT-025,8901234500015,Electronics,1,14999,11000,1000,15999,2700,2024-01-14
TXN-10026,STORE-DEL-03,SKU-APRL-026,8901234500016,Apparel,6,6000,3800,600,6600,1080,2024-01-14
TXN-10027,STORE-CHN-04,SKU-GROC-027,8901234500017,Groceries,20,2400,1680,120,2520,432,2024-01-15
TXN-10028,STORE-CHN-04,SKU-HOME-028,8901234500018,Home & Kitchen,1,4500,3100,300,4800,810,2024-01-15
TXN-10029,STORE-HYD-05,SKU-ELECT-029,8901234500019,Electronics,1,35000,26000,1500,36500,6300,2024-01-16
TXN-10030,STORE-HYD-05,SKU-APRL-030,8901234500020,Apparel,4,5200,3300,400,5600,936,2024-01-16
TXN-10031,STORE-BLR-01,SKU-GROC-031,8901234500021,Groceries,7,840,588,48,888,151.2,2024-01-17
TXN-10032,STORE-MUM-02,SKU-ELECT-032,8901234500022,Electronics,2,22000,16000,2000,24000,3960,2024-01-17
TXN-10033,STORE-DEL-03,SKU-HOME-033,8901234500023,Home & Kitchen,3,7200,4950,450,7650,1296,2024-01-18
TXN-10034,STORE-CHN-04,SKU-APRL-034,8901234500024,Apparel,5,5000,3200,500,5500,900,2024-01-18
TXN-10035,STORE-HYD-05,SKU-GROC-035,8901234500025,Groceries,11,1320,924,80,1400,237.6,2024-01-19
TXN-10036,STORE-BLR-01,SKU-ELECT-036,8901234500026,Electronics,1,7999,5800,400,8399,1440,2024-01-19
TXN-10037,STORE-MUM-02,SKU-APRL-037,8901234500027,Apparel,2,2600,1650,150,2750,468,2024-01-20
TXN-10038,STORE-DEL-03,SKU-GROC-038,8901234500028,Groceries,14,1680,1176,84,1764,302.4,2024-01-20
TXN-10039,STORE-CHN-04,SKU-HOME-039,8901234500029,Home & Kitchen,2,4200,2900,300,4500,756,2024-01-21
TXN-10040,STORE-HYD-05,SKU-ELECT-040,8901234500030,Electronics,1,18500,13500,750,19250,3330,2024-01-21
TXN-10041,STORE-BLR-01,SKU-HOME-041,8901234500031,Home & Kitchen,4,8000,5500,500,8500,1440,2024-02-01
TXN-10042,STORE-MUM-02,SKU-GROC-042,8901234500032,Groceries,18,2160,1512,108,2268,388.8,2024-02-01
TXN-10043,STORE-DEL-03,SKU-ELECT-043,8901234500033,Electronics,2,26000,19000,2000,28000,4680,2024-02-02
TXN-10044,STORE-CHN-04,SKU-APRL-044,8901234500034,Apparel,7,7700,4900,700,8400,1386,2024-02-02
TXN-10045,STORE-HYD-05,SKU-HOME-045,8901234500035,Home & Kitchen,1,3100,2100,200,3300,558,2024-02-03
TXN-10046,STORE-BLR-01,SKU-GROC-046,8901234500036,Groceries,22,2640,1848,132,2772,475.2,2024-02-03
TXN-10047,STORE-MUM-02,SKU-ELECT-047,8901234500037,Electronics,1,42000,30000,2000,44000,7560,2024-02-04
TXN-10048,STORE-DEL-03,SKU-APRL-048,8901234500038,Apparel,3,3900,2480,280,4180,702,2024-02-04
TXN-10049,STORE-CHN-04,SKU-GROC-049,8901234500039,Groceries,8,960,672,52,1012,172.8,2024-02-05
TXN-10050,STORE-HYD-05,SKU-ELECT-050,8901234500040,Electronics,1,9999,7200,500,10499,1800,2024-02-05
